"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","3","TS391SNL50-ND","TS391SNL50","THERMALLY STABLE SOLDER PASTE NO","","0","152,93000","kr 458,79"
"","","","","","","","Subtotal","kr 458,79"
