"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","25","1052-1252-ND","SFSD8192N3BM1TO-I-GE-2B1-STD","MEMORY CARD MICROSDHC 8GB MLC","","0","187,90800","kr 4 697,70"
"2","13","SRW094-WG-ND","WM094,GY","BOX ABS GRAY 9.5""L X 6.34""W","","0","150,54000","kr 1 957,02"
"3","14","1470-3162-ND","VEL24US240-EU-JA","AC/DC WALL MOUNT ADAPTER 24V 24W","","0","125,39600","kr 1 755,54"
"","","","","","","","Subtotal","kr 8 410,26"
