"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","20","SRW094-WG-ND","WM094,GY","BOX ABS GRAY 9.5""L X 6.34""W","ENCLOSURE","0","143,01300","kr 2 860,26"
"2","20","1470-3162-ND","VEL24US240-EU-JA","AC/DC WALL MOUNT ADAPTER 24V 24W","PSU","0","121,25000","kr 2 425,00"
"3","20","1052-1252-ND","SFSD8192N3BM1TO-I-GE-2B1-STD","MEMORY CARD MICROSDHC 8GB MLC","MEMORY CARD","0","180,49000","kr 3 609,80"
"","","","","","","","Subtotal","kr 8 895,06"
