Vgs=-2.5V,,Vgs=-3.0V,,Vgs=-4.0V,,Vgs=-4.5V,,Vgs=-10.0V,
X,Y,X,Y,X,Y,X,Y,X,Y
0.061246756718885464,0.17117588887420787,0.04728511929489043,0.39461885298798016,0.038273193093777635,0.9110975519729436,0.039149676874856265,0.5419137312175621,0.023756449275099456,0.9206111350462542
0.029251253373874908,0.10840988480168967,0.03563205530012725,0.22755844097026312,0.03710454805233954,0.6921689645599614,0.034650393465319285,0.39946557391687065,0.022833719164754962,0.7015147368056578
0.09109594896678219,0.2200267467995154,0.030232915208683098,0.1111614086623618,0.03710454805233954,0.5422235358223926,0.027069557967576596,0.22930023130408372,0.023706532124642576,0.5666206484527301
0.14508734988122507,0.2664974375239684,0.08727837516475101,0.7804632769364233,0.034650393465319285,0.39946557391687065,0.02419736304204667,0.11320611905423661,0.02483377511723872,0.41695920726958846
0.19907875079566795,0.2869445414427272,0.07023563497711116,0.5725843870957021,0.03612288621753135,0.22930023130408372,0.05939160793734821,1.0519553789688416,0.02237962053021869,0.2604252672693068
0.2530701517101108,0.3067720361518287,0.1080519261134667,0.9802872470515727,0.030232915208683098,0.11320611905423661,0.0686446047891307,1.2791454225106147,0.020743517472205264,0.11138859870590245
0.3070615526245537,0.3272191400705875,0.12896004830937868,1.143155953590611,0.09600425814082247,1.5049723257911367,0.08161656474909429,1.5530717035809811,0.02826959153906694,1.1982657670097439
0.3610529535389966,0.347046634779689,0.1532678651712922,1.295806025703678,0.11117539558785583,1.7994106222212736,0.09069548845172459,1.8084982239629444,0.042994519061187786,1.4756648101742478
0.41504435445343923,0.3650153018598097,0.1804972946368013,1.446454661718878,0.09600425814082247,1.6290180895649442,0.09640359534447773,1.988194729830985,0.047902828235227846,1.7244379078524883
0.4690357553678821,0.38360357814959123,0.2195781596990125,1.5949395830336783,0.12590032310997668,2.0600595630846534,0.10523855185775033,2.160339871394637,0.05673778474850044,1.8897186645291288
0.5230271562823252,0.3978545899717556,0.2628867700581914,1.7482928624243748,0.13649780882665463,2.2577665350668,0.11975579514882018,2.3816662480983304,0.06768164608917715,2.1691624180855094
0.5770185571967676,0.4121056017939235,0.3067547833011761,1.9015514792969288,0.15490396822930563,2.4750170142036207,0.13826980448160797,2.664323117984802,0.07637102144466157,2.4077119638043705
0.6310099581112105,0.42449778598711063,0.3509476111218548,2.046914128479722,0.1720830503384465,2.8268775941389404,0.13036242235910445,2.515059259377857,0.08478526574301637,2.646504927427026
0.6850013590256534,0.43565075176097956,0.3941840404637682,2.204944849943338,0.16275726290777026,2.6527364257641715,0.15428558530212677,2.8916267565483462,0.09600425814082247,2.9069620844874144
0.7389927599400963,0.4474233267445076,0.4494025186717212,2.365113830640288,0.18987567109434256,3.0696869531742106,0.16769261580382988,3.1301763022672073,0.10939055588820512,3.1142213651184782
0.7929841608545392,0.45733707409905655,0.5033939195861641,2.504525902813649,0.2402540110890059,3.883248188262753,0.16001194600517343,2.992158350815579,0.12095482977552718,3.3800853501631565
0.846975561768982,0.4641527754053101,0.557385320500607,2.6160555605523363,0.21871198749182907,3.326127714821986,0.1823902749416506,3.394284727884518,0.12545411318506416,3.619202870990872
0.9009669626834249,0.47406652275986083,0.6113767214150498,2.704040068323968,0.25096659063552207,4.065469027947927,0.1934234827431256,3.5825029408802767,0.14508734988122507,3.8837530550261796
0.9549583635978678,0.47716456880815805,0.6653681223294927,2.7814912195313894,0.22852860583990942,3.4624417409470496,0.2122934293411609,3.742934063935161,0.15490396822930563,4.122166675077963
1.011676602942333,0.4885240709852461,0.7193595232439352,2.850887451013241,0.24030854785760591,3.6532813775221378,0.22211004768924147,3.901850586699764,0.1647205865773862,4.355298612066216
1.0629411654267535,0.4926547990496424,0.773350924158378,2.9153268088178166,0.2853247548538038,4.290062613849219,0.22287333778736707,4.07020423434995,0.17488779843789803,4.60017702328374
